if_ncov,old_gis_id,new_id,station_full_name,station,station_train_name,province_city,lat,long,address,province,city,站名,lng火星,lat火星,type,WGS84_Lng,WGS84_Lat,if_in_gis
#N/A,50565500076,3927,百善站,百善,百善火车站,,33.781088,116.686921,,,,,116.686921,33.781088,freight,116.681619,33.782582,1
#N/A,59566500169,3928,通州站,通州,通州火车站,,39.896887,116.656985,,,,,116.656985,39.896887,freight,116.6511,39.895785,1
#N/A,55562500040,3929,王字庄站,王字庄,王字庄火车站,,36.857209,116.662269,,,,,116.662269,36.857209,freight,116.65672,36.856938,1
#N/A,60564500102,3930,怀北站,怀北,怀北火车站,,40.406615,116.643956,,,,,116.643956,40.406615,freight,116.638042,40.405464,1
#N/A,57561500006,3931,大满庄站,大满庄,大满庄火车站,,38.110406,116.651912,,,,,116.651912,38.110406,freight,116.646251,38.109842,1
#N/A,49560500170,3932,桂集站,桂集,桂集火车站,,32.740807,116.622171,,,,,116.622171,32.740807,freight,116.617114,32.742984,1
#N/A,54562500035,3933,陶阳站,陶阳,陶阳火车站,,36.211525,116.638889,,,,,116.638889,36.211525,freight,116.633465,36.211616,1
#N/A,54562400041,3934,湖屯站,湖屯,湖屯火车站,,36.198646,116.590546,,,,,116.590546,36.198646,freight,116.585176,36.198773,1
#N/A,50564500110,3935,海孜站,海孜,海孜火车站,,33.730958,116.621824,,,,,116.621824,33.730958,freight,116.616676,33.732574,1
#N/A,55563400128,3936,黄桥站,黄桥,黄桥火车站,,36.980445,116.586485,,,,,116.586485,36.980445,freight,116.581032,36.980157,1
#N/A,51564400059,3937,文庄站,文庄,文庄火车站,,34.379084,116.587626,,,,,116.587626,34.379084,freight,116.582437,34.380513,1
#N/A,59566400138,3938,双桥站,双桥,双桥火车站,,39.898722,116.563972,,,,,116.563972,39.898722,freight,116.558163,39.897659,1
#N/A,56567400005,3939,南霞口站,南霞口,南霞口火车站,,37.973094,116.565471,,,,,116.565471,37.973094,freight,116.559888,37.972534,1
#N/A,50564400019,3940,临涣站,临涣,临涣火车站,,33.675804,116.559108,,,,,116.559108,33.675804,freight,116.553954,33.677416,1
#N/A,55564400108,3941,张庄站,张庄,张庄火车站,,37.038771,116.561848,,,,,116.561848,37.038771,freight,116.556361,37.038416,1
