"","new_id","timestamp","value","accumulate","out_or_in","station","lat","long","province"
"249",6489,"1579046400",0,1,"out","吐鲁番北",43.02236,89.111139,"新疆维吾尔自治区"
"250",6523,"1579046400",0,1,"out","库车",41.694913,83.016589,"新疆维吾尔自治区"
"251",6663,"1579046400",0,1,"out","石柱县",29.965289,108.097576,"重庆"
"252",6698,"1579046400",0,1,"out","涪陵北",29.768328,107.276696,"重庆"
"253",7015,"1579046400",0,1,"out","曲阜东",35.55627,117.068864,"山东"
"254",7022,"1579046400",1,1,"out","济南",36.671081,116.990852,"山东"
"255",7517,"1579046400",0,1,"out","十堰东",32.50921,111.082196,"河北"
"256",7566,"1579046400",1,1,"out","万州北",30.845716,108.371072,"重庆"
"257",7592,"1579046400",0,1,"out","萧县北",34.236513,116.941524,"安徽"
"258",7602,"1579046400",0,1,"out","永城北",34.741222,113.66245,"河南"
"259",0,"1579132800",1,21,"out",NA,0,0,NA
"260",52,"1579132800",0,1,"out","上海虹桥",31.19418,121.320569,"上海"
"261",216,"1579132800",1,1,"out","西安北",34.376212,108.938446,"陕西"
"262",265,"1579132800",2,3,"out","沈阳",41.795132,123.393331,"辽宁"
"263",302,"1579132800",1,1,"out","锦州南",41.016765,121.125745,"辽宁"
"264",507,"1579132800",0,1,"out","大连北",39.016736,121.607407,"辽宁"
"265",771,"1579132800",1,1,"out","怀化",27.557198,109.967323,"湖南"
"266",772,"1579132800",0,2,"out","怀化南",27.511489,109.994749,"湖南"
"267",805,"1579132800",3,3,"out","安陆",31.256575,113.6951,"湖北"
"268",812,"1579132800",0,1,"out","襄阳",32.058011,112.1548,"湖北"
"269",823,"1579132800",10,26,"out","武汉",30.607096,114.42438,"湖北"
"270",857,"1579132800",0,2,"out","株洲",27.835476,113.15673,"湖南"
"271",859,"1579132800",0,2,"out","长沙南",28.146991,113.065259,"湖南"
"272",862,"1579132800",3,5,"out","长沙",28.193949,113.013032,"湖南"
"273",911,"1579132800",0,1,"out","绥化",46.644663,127.015618,"黑龙江"
"274",961,"1579132800",14,35,"out","汉口",30.619097,114.254389,"湖北"
"275",962,"1579132800",5,25,"out","武昌",30.528422,114.317801,"湖北"
"276",969,"1579132800",0,2,"out","荆州",30.369761,112.213011,"湖北"
"277",973,"1579132800",1,1,"out","荆门",31.051049,112.211897,"湖北"
"278",990,"1579132800",0,3,"out","麻城",31.146285,114.96389,"湖北"
"279",1028,"1579132800",0,2,"out","徐州",34.265367,117.207387,"江苏"
"280",1033,"1579132800",0,1,"out","无锡",31.587145,120.305513,"江苏"
"281",1055,"1579132800",0,2,"out","南京南",31.968681,118.797932,"江苏"
"282",1105,"1579132800",0,2,"out","南昌",28.662028,115.919161,"江西"
"283",1108,"1579132800",1,1,"out","南昌西",28.62249,115.792614,"江西"
"284",1317,"1579132800",0,2,"out","邢台",37.06985,114.492925,"河北"
"285",1352,"1579132800",0,1,"out","淮滨",32.500942,115.412152,"河南"
"286",1358,"1579132800",0,3,"out","信阳",32.128928,114.082245,"河南"
"287",1435,"1579132800",0,4,"out","高碑店",39.328714,115.858912,"河北"
"288",1485,"1579132800",1,1,"out","邯郸东",36.62012,114.559179,"河北"
"289",1666,"1579132800",1,3,"out","哈尔滨",45.761109,126.632312,"黑龙江"
"290",1725,"1579132800",1,6,"out","郑州",34.746377,113.65971,"河南"
"291",1726,"1579132800",1,1,"out","郑州东",34.759186,113.779103,"河南"
"292",1960,"1579132800",0,1,"out","合肥南",31.798569,117.290369,"安徽"
"293",1964,"1579132800",0,3,"out","阜阳",32.91468,115.868148,"安徽"
"294",2027,"1579132800",0,1,"out","北京南",39.864896,116.379054,"北京"
"295",2086,"1579132800",0,1,"out","南宁东",22.842049,108.414219,"广西壮族自治区"
"296",2093,"1579132800",0,1,"out","柳州",24.307475,109.389088,"广西壮族自治区"
"297",2205,"1579132800",0,1,"out","广州南",22.988726,113.269446,"广东"
"298",2208,"1579132800",0,1,"out","广州",23.14891,113.257569,"广东"
"299",2248,"1579132800",1,1,"out","崇左",22.403914,107.358138,"广西壮族自治区"
"300",2287,"1579132800",0,1,"out","深圳东",22.601157,114.118789,"广东"
"301",2778,"1579132800",0,1,"out","沈阳南",41.660199,123.348874,"辽宁"
"302",5277,"1579132800",0,1,"out","防城港",21.629406,108.357342,"广西"
"303",5989,"1579132800",1,1,"out","昆明南",24.920244,102.822787,"云南"
"304",6371,"1579132800",0,1,"out","杭州东",30.291066,120.212918,"浙江"
"305",6420,"1579132800",0,1,"out","天津西",39.158531,117.163382,"天津"
"306",6423,"1579132800",0,2,"out","天津",39.135656,117.210114,"天津"
"307",6489,"1579132800",0,1,"out","吐鲁番北",43.02236,89.111139,"新疆维吾尔自治区"
"308",6523,"1579132800",0,1,"out","库车",41.694913,83.016589,"新疆维吾尔自治区"
"309",6663,"1579132800",0,1,"out","石柱县",29.965289,108.097576,"重庆"
"310",6698,"1579132800",0,1,"out","涪陵北",29.768328,107.276696,"重庆"
"311",6710,"1579132800",1,1,"out","温州南",27.966086,120.585003,"浙江"
"312",6829,"1579132800",1,1,"out","枣庄",34.779737,117.306419,"山东"
"313",7015,"1579132800",0,1,"out","曲阜东",35.55627,117.068864,"山东"
"314",7022,"1579132800",0,1,"out","济南",36.671081,116.990852,"山东"
"315",7517,"1579132800",0,1,"out","十堰东",32.50921,111.082196,"河北"
"316",7566,"1579132800",0,1,"out","万州北",30.845716,108.371072,"重庆"
"317",7592,"1579132800",0,1,"out","萧县北",34.236513,116.941524,"安徽"
"318",7602,"1579132800",0,1,"out","永城北",34.741222,113.66245,"河南"
"319",0,"1579219200",1,22,"out",NA,0,0,NA
"320",52,"1579219200",0,1,"out","上海虹桥",31.19418,121.320569,"上海"
