old_gis_id,id,name_simple,name,lat,long,state,transit,out,in,if_new
1666,1666,哈尔滨,哈尔滨火车站,45.761109,126.632312,黑龙江,火车,15,16,69
1697,1697,大庆西,大庆西火车站,46.656797,124.885989,黑龙江,火车,0,2,785
1716,1716,驻马店,驻马店火车站,32.979062,114.043693,河南,火车,0,6,342
1720,1720,驻马店西,驻马店西火车站,33.000449,113.980043,河南,火车,2,10,961
1725,1725,郑州,郑州火车站,34.746377,113.65971,河南,火车,12,34,34
1726,1726,郑州东,郑州东火车站,34.759186,113.779103,河南,火车,18,49,155
1727,1727,巩义,巩义火车站,34.760376,112.981016,河南,火车,0,2,34
1784,1784,哈尔滨东,哈尔滨东火车站,45.788479,126.710863,黑龙江,火车,1,0,779
1798,1798,嘉峪关南,嘉峪关南火车站,39.717599,98.309384,甘肃,火车,0,1,311
1804,1804,陇西,陇西火车站,34.952251,104.705204,甘肃,火车,0,1,637
1827,1827,厦门北,厦门北火车站,24.636309,118.074094,福建,火车,1,2,953
1845,1845,宁德,宁德火车站,26.669205,119.583716,福建,火车,0,1,512
1863,1863,天水,天水火车站,34.565389,105.89832,甘肃,火车,0,4,310
1899,1899,兰州西,兰州西火车站,36.068394,103.752733,甘肃,火车,1,3,657
1900,1900,兰州,兰州火车站,36.034906,103.851267,甘肃,火车,4,3,312
1936,1936,芜湖,芜湖火车站,31.348391,118.396589,安徽,火车,1,1,1043
1951,1951,淮北,淮北火车站,33.966952,116.803757,安徽,火车,0,1,485
1957,1957,合肥,合肥火车站,31.885816,117.31754,安徽,火车,1,4,381
1960,1960,合肥南,合肥南火车站,31.798569,117.290369,安徽,火车,16,21,105
1964,1964,阜阳,阜阳火车站,32.91468,115.868148,安徽,火车,3,12,61
1966,1966,阜南,阜南火车站,32.637692,115.554105,安徽,火车,0,2,590
1970,1970,全椒,全椒火车站,32.061694,118.281991,安徽,火车,0,2,482
1978,1978,蚌埠,蚌埠火车站,32.943887,117.377761,安徽,火车,1,1,1046
1980,1980,安庆,安庆火车站,30.548995,117.065389,安徽,火车,0,1,609
2003,2003,福州,福州火车站,26.114028,119.320023,福建,火车,2,2,512
2027,2027,北京南,北京南火车站,39.864896,116.379054,北京,火车,20,13,117
2028,2028,清河,清河火车站,40.041651,116.315062,北京,火车,2,1,216
2030,2030,北京西,北京西火车站,39.894755,116.321148,北京,火车,4,25,429
2039,2039,北京,北京火车站,39.903708,116.427258,北京,火车,9,5,224
2064,2064,贵阳北,贵阳北火车站,26.619292,106.674201,贵州,火车,4,0,461
2069,2069,安顺,安顺火车站,26.229415,105.942716,贵州,火车,0,2,994
2074,2074,陆川,陆川火车站,22.30994,110.258046,广西壮族自治区,火车,0,1,1025
2076,2076,玉林,玉林火车站,22.597478,110.156873,广西壮族自治区,火车,1,2,855
2077,2077,梧州,梧州火车站,23.486972,111.240549,广西壮族自治区,火车,0,3,276
2085,2085,南宁,南宁火车站,22.826755,108.315177,广西壮族自治区,火车,10,12,374
2086,2086,南宁东,南宁东火车站,22.842049,108.414219,广西壮族自治区,火车,6,13,79
2093,2093,柳州,柳州火车站,24.307475,109.389088,广西壮族自治区,火车,6,17,100
2097,2097,贺州,贺州火车站,24.454274,111.539171,广西壮族自治区,火车,0,3,213
2101,2101,宜州,宜州火车站,24.479046,108.627314,广西壮族自治区,火车,0,1,658
2104,2104,金城江,金城江火车站,24.699484,108.065066,广西壮族自治区,火车,0,2,100
2106,2106,全州南,全州南火车站,25.953526,111.041556,广西壮族自治区,火车,0,1,261
2107,2107,桂林北,桂林北火车站,25.328907,110.302177,广西壮族自治区,火车,3,13,388
2110,2110,桂林,桂林火车站,25.261035,110.282782,广西壮族自治区,火车,1,1,178
2200,2200,惠州,惠州火车站,23.151783,114.416591,广东,火车,1,0,1118
2205,2205,广州南,广州南火车站,22.988726,113.269446,广东,火车,9,8,32
2207,2207,广州北,广州北火车站,23.377031,113.20451,广东,火车,0,2,59
2208,2208,广州,广州火车站,23.14891,113.257569,广东,火车,5,4,44
2209,2209,容桂,容桂火车站,22.751957,113.309763,广东,火车,0,1,896
2227,2227,张掖西,张掖西火车站,38.923735,100.428901,甘肃,火车,0,1,391
2241,2241,防城港北,防城港北火车站,21.713884,108.376295,广西壮族自治区,火车,0,1,79
2242,2242,贵港,贵港火车站,23.099104,109.613172,广西壮族自治区,火车,0,1,427
2256,2256,北海,北海火车站,21.452804,109.128259,广西壮族自治区,火车,3,9,197
2275,2275,湛江,湛江火车站,21.187099,110.390449,广东,火车,0,2,154
2276,2276,怀集,怀集火车站,23.892782,112.159573,广东,火车,1,0,213
2280,2280,湛江西,湛江西火车站,21.21591,110.28058,广东,火车,1,1,641
2287,2287,深圳东,深圳东火车站,22.601157,114.118789,广东,火车,1,0,6
2289,2289,深圳北,深圳北火车站,22.609183,114.02899,广东,火车,7,3,864
2303,2303,汕头,汕头火车站,23.372003,116.754727,广东,火车,1,3,949
62633200050,2778,沈阳南,沈阳南火车站,41.660199,123.348874,辽宁,火车,1,2,71
61541700037,4538,张家口,张家口火车站,40.81055,114.882713,江苏,火车,0,2,786
32483200017,5277,防城港,防城港火车站,21.629406,108.357342,广西,火车,1,1,16
37423600158,5989,昆明南,昆明南火车站,24.920244,102.822787,云南,火车,5,11,156
44461300280,6136,重庆西,重庆西火车站,29.430422,106.429033,重庆,火车,5,0,617
,6295,丽江,丽江火车站,26.810869,100.252234,云南,火车,0,1,386
,6298,石林,石林火车站,24.86286,103.329488,云南,火车,0,1,257
,6312,昆明,昆明火车站,25.015805,102.721791,云南,火车,5,1,257
,6322,祥云,祥云火车站,25.470345,100.545772,云南,火车,0,1,921
,6324,大理,大理火车站,25.589012,100.249781,云南,火车,0,4,597
,6353,义乌,义乌火车站,29.378366,120.043352,浙江,火车,2,2,924
,6367,长兴,长兴火车站,31.041827,119.974066,浙江,火车,0,3,885
,6370,杭州,杭州火车站,30.243562,120.183016,浙江,火车,2,1,544
,6371,杭州东,杭州东火车站,30.291066,120.212918,浙江,火车,10,10,24
,6405,拉萨,拉萨火车站,29.623071,91.070243,西藏自治区,火车,0,2,923
,6420,天津西,天津西火车站,39.158531,117.163382,天津,火车,2,2,88
,6423,天津,天津火车站,39.135656,117.210114,天津,火车,3,4,74
,6447,遂宁,遂宁火车站,30.542163,105.542915,四川,火车,0,2,715
,6477,奎屯,奎屯火车站,44.403957,84.900598,新疆维吾尔自治区,火车,0,1,733
,6661,万州,万州火车站,30.754938,108.399826,重庆,火车,2,0,801
,6663,石柱县,石柱县火车站,29.965289,108.097576,重庆,火车,1,4,29
,6695,合川,合川火车站,29.96067,106.278074,重庆,火车,0,2,364
,6701,丰都,丰都火车站,29.845593,107.690212,重庆,火车,0,1,379
,6710,温州南,温州南火车站,27.966086,120.585003,浙江,火车,1,5,133
,6715,苍南,苍南火车站,27.528018,120.411567,浙江,火车,0,1,133
,6723,绍兴北,绍兴北火车站,30.099718,120.538608,浙江,火车,1,0,353
65275400209,6748,乌鲁木齐,乌鲁木齐火车站,43.779213,87.583207,新疆维吾尔自治区,火车,4,5,391
,6768,长寿北,长寿北火车站,29.879991,107.075367,重庆,火车,0,1,375
,6770,重庆,重庆火车站,29.549881,106.547488,重庆,火车,2,0,826
,6773,重庆北,重庆北火车站,29.60778,106.550937,重庆,火车,9,12,279
,6788,平遥,平遥火车站,37.206643,112.168485,山西,火车,0,1,918
,6804,晋城,晋城火车站,35.475703,112.873555,山西,火车,1,1,222
,6815,天镇,天镇火车站,40.452052,114.065955,山西,火车,0,1,216
,6818,大同,大同火车站,40.120263,113.303134,山西,火车,0,8,245
,6824,淄博,淄博火车站,36.789287,118.057186,山东,火车,0,3,295
,6829,枣庄,枣庄火车站,34.779737,117.306419,山东,火车,1,3,131
,6832,烟台南,烟台南火车站,37.432394,121.392254,山东,火车,1,1,346
,6843,潍坊,潍坊火车站,36.697535,119.098395,山东,火车,0,4,145
,6844,荣成,荣成火车站,37.145651,122.40751,山东,火车,0,4,716
,6846,威海,威海火车站,37.42649,122.144553,山东,火车,0,5,378
,6872,太原南,太原南火车站,37.79177,112.610519,山西,火车,2,4,528
,6875,太原,太原火车站,37.860498,112.587626,山西,火车,1,2,918
,6882,应县,应县火车站,39.62557,113.063549,山西,火车,0,1,528
,6906,侯马西,侯马西火车站,35.601892,111.288213,山西,火车,0,1,473
,6946,银川,银川火车站,38.49207,106.174701,宁夏回族自治区,火车,1,1,622
,6982,泰安,泰安火车站,36.187027,117.110745,山东,火车,1,1,476
,6993,青岛,青岛火车站,36.064567,120.312493,山东,火车,4,1,716
,7004,聊城,聊城火车站,36.456746,115.9442,山东,火车,0,1,681
,7015,曲阜东,曲阜东火车站,35.55627,117.068864,山东,火车,1,4,72
,7022,济南,济南火车站,36.671081,116.990852,山东,火车,2,2,111
,7023,济南东,济南东火车站,36.681194,117.029504,山东,火车,1,0,515
,7024,巨野,巨野火车站,35.379364,116.087738,山东,火车,0,1,871
,7025,济南西,济南西火车站,36.669027,116.891606,山东,火车,2,7,474
,7031,菏泽,菏泽火车站,35.230704,115.506742,山东,火车,1,1,871
,7037,德州东,德州东火车站,37.409615,116.461698,山东,火车,1,1,768
,7041,西宁,西宁火车站,36.619867,101.814009,青海,火车,3,3,304
,7044,香港西九龙,,22.304227,114.1649207,香港,火车,1,1,629
,7045,大明湖,,36.6756694,117.0257093,山东,火车,0,3,389
,7079,东方,,19.088419,108.69133,海南,火车,1,0,1031
,7087,鄂尔多斯,,39.562408,109.842033,内蒙古自治区,火车,0,1,802
,7137,沙坪坝,,29.554731,106.462639,重庆,火车,2,2,469
,7141,图们北,,42.968044,129.84371,吉林,火车,0,1,907
,7159,中川机场,,36.515,103.62,甘肃,火车,1,0,313
,7167,安江东,,27.313891,110.1479932,湖南,火车,0,1,687
,7208,成都西,,30.696822,104.073374,四川,火车,1,0,784
,7217,长宁,,27.87813,102.225067,四川,火车,0,1,537
,7224,苍溪,,31.734424,105.9362232,四川,火车,0,3,601
,7236,东港北,,39.8891389,124.1468308,辽宁,火车,0,1,782
